This file concludes number of sentences of each language in Taxi1500.
awb,1067
dik,1067
bps,1067
shk,1067
run,1066
ify,1067
ivb,1067
aim,1067
guc,1067
nbe,1067
gub,1064
luo,1063
apy,1067
als,1067
noa,1067
bjr,1067
niq,1067
gaw,1067
hag,1056
kbr,1062
ifb,1067
bkl,1067
maw,1067
tam,1067
ksw,1067
swh,1067
kjs,1067
tqo,1067
chu,1054
mbf,1067
hto,1067
agn,1067
bmu,1067
xla,1067
bug,1054
lgg,1067
lac,1067
mam,1067
bgt,1065
knk,1066
guw,1067
mxp,1067
mpt,1067
tum,1066
nkf,1067
bsn,1053
yuj,1067
lid,1067
yss,1067
njb,1067
kgr,1067
pes,1060
uig,1067
djk,1067
lis,1067
mim,1067
izz,1067
slk,1067
not,1067
wbp,1054
hub,1062
tob,1067
kbh,1067
tui,1067
tee,1066
mox,1067
ckb,1067
blh,1067
crm,1067
tqb,1067
jpn,1067
hye,1067
muh,1038
kup,1064
gej,1067
whk,1063
kdi,1067
gnn,1067
tyv,1067
iri,1067
sna,1067
zav,1067
myx,1067
apu,1067
ffm,1067
bao,1065
roo,1067
nsm,1067
gog,1067
zad,1067
ace,1067
sim,1067
mcn,1067
bus,1067
bqp,1067
gur,1067
mnf,1067
hil,1067
abt,1066
guh,1063
ceb,1067
emi,1067
lob,1067
kng,1067
tbo,1067
uzn,1067
mic,1067
ind,1067
kwd,1067
qxo,1033
ifa,1067
ncl,1067
ter,1067
agm,1067
cnh,1067
ssw,1067
too,1067
ctd,1067
soy,1067
biu,1067
leh,1067
cac,1067
ghs,1067
lef,1067
xsi,1067
nhw,1067
ixl,1067
mck,1067
mej,1065
viv,1067
ncq,1067
asg,1067
knj,1067
bzj,1067
cao,1067
etu,1067
kno,1067
pls,1067
lat,1067
cha,1067
wuv,1067
nod,1067
bgs,1067
lok,1067
nav,1067
tav,1065
hvn,1067
sig,1067
qve,1067
lee,1067
quy,1067
aka,1067
btt,1067
zsr,1067
est,1067
gai,1067
seh,1067
yli,1066
ian,1067
tro,1067
auc,1067
xtn,1067
mvn,1067
rar,1067
tmd,1067
nan,1067
mti,1066
cpc,1067
szb,1061
boj,1066
ata,1067
jmc,1067
jav,1067
apz,1067
zyb,1067
mqj,1066
gbo,1067
aah,1061
kje,1061
usp,1067
cnt,1067
mfy,1067
trq,1067
nde,1043
amk,1067
ruf,1067
bvr,1067
rav,1067
gle,1067
gun,1067
aji,1067
cas,1067
atg,1067
kab,1067
lmp,1067
taq,1067
zam,1067
cuc,1067
dga,1067
cuk,1067
yat,1067
qub,1067
kyz,1051
dnw,1057
clu,1067
sab,1052
nyo,1067
agu,1066
vid,1067
slv,1067
mzl,1034
dbq,1065
nlc,1067
loq,1067
pah,1058
cok,1067
muy,1067
kek,1067
nld,1067
dis,1067
srm,1066
log,1067
uvl,1067
apb,1067
aia,1066
swk,1028
gvf,1067
bon,1067
mco,1067
kub,1067
mai,1067
mwq,1067
pne,1046
ngp,1067
trp,1067
akh,1065
mnx,1032
mbc,1067
udu,1067
gdn,1067
snf,1067
por,1067
lao,1067
pio,1067
sag,1067
ded,1067
dah,1065
aeb,1067
pck,1067
cme,1067
jae,996
neb,1065
sbd,1067
blt,1067
anv,1067
zaa,1067
chv,1067
ngu,1067
caq,1067
sba,1067
sey,1067
thk,1067
dje,1055
loe,1067
zty,1066
dur,1067
ura,1059
ktb,1067
kum,1067
crj,1067
kia,1067
leu,1067
tlh,1067
pad,1064
fry,1067
tuo,1066
srn,1067
chf,1067
mbs,1067
dyu,1067
wsg,1067
mri,1067
usa,1067
gya,1067
att,1067
dww,1066
smt,1067
mal,1067
niy,1067
chd,1067
mfi,1067
bjv,1067
bbr,1067
kmu,1067
con,1063
guu,1067
aon,1067
tvk,1067
ksb,1067
kha,1067
llg,1067
crn,1067
vag,1067
pse,1067
kdc,1067
xsb,1067
dnj,1067
tiy,1067
grt,1064
mqy,1067
heg,1067
ife,1067
trs,1067
mbb,1067
kxc,1067
njm,1024
nep,1067
mhr,1067
bcl,1067
crh,1067
hix,1067
mjc,1067
mhi,1067
mcq,1067
cgc,1067
xed,1067
qup,1059
lit,1067
ntp,1058
gaa,1067
nph,1067
zar,1066
gom,1067
ood,1038
sda,1067
kus,1067
kru,1067
toj,1067
crt,1057
wap,1057
mos,1067
bdd,1067
khk,1061
cle,1067
blz,1067
acd,1067
nab,1067
yor,1067
qug,1067
pap,1067
las,1067
cbt,1067
cmn,1067
vut,1067
plw,1067
mor,1066
tsn,1067
npl,1067
spp,1064
mop,1067
mfq,1067
dan,1067
dts,1067
shi,1067
rus,1067
cbu,1067
bum,1067
zia,1067
wnc,1067
bqc,1067
nhx,1067
hin,1067
nri,1067
gbr,1067
sxb,1067
sil,1065
kms,1067
ntr,1067
tgp,1067
cbk,1067
saj,1065
nre,1067
bzi,1067
npy,1062
urk,1067
cjp,1067
njn,1067
ium,1067
cce,1067
kqo,1067
ria,1067
shn,1067
nsa,1067
apw,1066
kss,1063
ctu,1067
khz,1067
dks,1067
cta,1067
oku,1067
kto,1067
inb,1067
btd,1067
mhl,1067
kua,1067
amh,1067
bzd,1067
mnk,1067
knv,1067
pww,1067
wmw,1067
qvo,1063
tzj,1063
wol,1067
aso,1066
tur,1066
ayp,1067
yuw,1067
agd,1067
guz,1066
chk,1067
kgp,1067
bxr,1065
mxb,1067
ndz,1067
buk,1067
kik,1067
wim,1067
amu,1067
mmo,1067
qvh,1030
lmk,1067
zae,1067
mup,1067
adj,1067
okv,1067
gso,1067
kpr,1067
kne,1067
mva,1067
tpt,1067
ttr,1067
pam,1067
kwj,1067
bpr,1045
guq,1067
txq,1067
cpy,1067
wba,1067
rgu,942
meq,1067
kpw,1066
crx,1067
zao,1067
car,1067
ctp,1067
snw,1067
ikw,1067
ong,1067
mtj,1067
hot,1063
kxm,1067
thl,1067
amp,1067
cbv,1065
