62003016	Faith	Yesu nan sil timi aasisiiyaan ki kpo ti pu. Nima le cha ti bee ngeehm aah ye pu na. Ni ŋan ke ti mu ga ŋmaa kpo tinaabitiib pu.
43013001	Grace	Ni nan ye kitaak ki ga nan ji aan ki woln Lakr‑jer aajim* daal na. Le Yesu nyi ke ni ŋeer u nya dulnyaa wee ni, ki buen Ute Uwumbɔr chee. N‑yoonn mɔmɔk u nan gee waanib bi bi dulnyaa ni na. U gee bi mbamɔm ki ti saa ndoon.
58003017	Sin	Uwumbɔr nan gee liŋuul ŋma pu ŋibin imonko ilee? Naa ye binib bi nan tun titunwanbir ki kpo kipɔɔk ni na aa?
60001014	Recommendation	Ni li keei Uwumbɔr aamɔb. Buyoonn naa nan kee nyi nsan mu ŋan na, le ni nan dii nisui aah gee pu na. Ni taa ki dii kina.
45011032	Grace	U len ke Juu yaab ni binib bi kaa ye Juu yaab na mɔmɔk ye titunwanbirdam, aan u san bi mɔmɔk kinimbaak.
66006006	Description	Le m ŋun nneel len tiwanfuurkaan ninaa ngbaan aakaasisik ni ke, “Tijikaar taa li wiir, taadaak li pɔɔ. Tɔ, taa bii nkpan ni ŋisubil aawanyukaan.”
59004010	Recommendation	Ni sunn nibaa taab man Tidindaan aanimbiin ni, le u ga nyuŋ nimi.
44017031	Grace	Ba pu? u siin nwiin bundaln u ga ji binib mɔmɔk tibɔr na, ki ti saa baah ŋa ki ŋeer pu na. U nyan uja u ga ji binib tibɔr na. U nan fikr uja ngbaan nkun ni, nima le ye limɔkl tii binib mɔmɔk.”
43019002	Description	Le bi luu ikokon aayikpupuk ki di chiŋ u, ki di libɔkumaln peen u,
54005014	Recommendation	M ban ke bikpopiib bi kaa por na mɔn tichal, ki maa mbim, ki li lik baachiln ni aabɔr, ki taa tii timi aadim nsan ke bi galn timi.
43014011	Faith	“Ni li pak ke m bi Nte Uwumbɔr ni, Nte Uwumbɔr mu bi m ni. Ni yaa kaa pak maah len pu na kan, gaa mi ki kii lituln ngbaan pu man.
