62003016	Faith	Mo̱ e̱ tɔwe̱ a n gywii mo̱ne̱ ane̱ŋ ne̱ ane̱ e̱ taare̱ a ane̱ ŋu ane̱ŋ ne̱ ke̱kpa du-o . Amo̱ e̱ gye̱ fe̱yɛ Yeesuu Kristoo a wu sa ane̱ . Amo̱se̱se̱-ɔ a bware fe̱yɛ ane̱ mɔ ane̱ wu sa ane̱ ko̱so̱bɛɛ-ana .
43013001	Grace	Amo̱ a saŋ kake ko̱ŋko̱ a bo̱ gyi Wuribware̱-a-kya-ane̱-yɔwe̱ a ateese-o , Yeesuu a nyi fe̱yɛ mò̱ saŋ-ɔ a fo̱ fe̱yɛ ɔ le̱e̱ kaye̱ mɔ-rɔ yɔ mò̱ se̱ ase̱-ɔ . Ɔɔ kpa mò̱ agyase̱po̱-ɔ ase̱ŋ saŋ ke̱maa , a le̱e̱ fe̱yɛ bo̱ gye̱ mò̱ fɔŋfɔŋ ase̱sɛ kaye̱ mɔ-rɔ . Ne̱ mbe̱yɔmɔ ɔ ba a ɔ bo̱ kaapo̱ bamo̱ ane̱ŋ ne̱ ɔ kpa bamo̱ bwe̱e̱tɔ-ɔ .
58003017	Sin	Ne̱ nsɛ-ana se̱ ne̱ Wuribware̱ duŋ a fwii nsu aduna-ɔ ne̱e̱ ? Bamo̱ ne̱ baa waa bɔye̱ , ne̱ baa wu bo̱ le̱e̱ ane̱ŋ se̱ saŋ ne̱ bo̱ naa kimukee-o-ro-o ne̱e̱ .
60001014	Recommendation	Mbe̱yɔmɔ mo̱ne̱ a tɛɛ mo̱ne̱ i bu Wuribware̱ mo̱ne̱ se̱-ɔ , mo̱ne̱ ma lɛɛ kiŋŋi ya gya mo̱ne̱ ŋyo̱rɔwe̱ bɔye̱ ne̱ mo̱ne̱ dɛɛ mo̱ne̱ gya se̱ nsaŋ ne̱ mo̱ne̱ dɛɛ mo̱ne̱ mo̱ŋ nyi sɛye̱-ɔ se̱ .
45011032	Grace	A le̱e̱ fe̱yɛ Wuribware̱ a tɔwe̱ fe̱yɛ ase̱sɛ pɛɛɛ gye̱ e̱bɔye̱ awaapo̱ ne̱e̱ , na ɔ nya ŋu ase̱sɛ pɛɛɛ e̱wɛɛ .
66006006	Description	Ne̱ mo̱ a nu bo̱re̱ ko̱ a le̱e̱ mbo̱ nna-ɔ nse̱na tɔwe̱ fe̱yɛ , “ Mo̱n ' sa a abwaye na yaabraa ke̱nya waa le̱ŋ na amo̱ yawo̱ waa le̱ŋ . Amaa mo̱ne̱ ma nye̱ra mfɔ ayii na bobe ayii ne̱ bo̱ de amo̱ agyi ba waa nta-ɔ . ”
59004010	Recommendation	
44017031	Grace	A le̱e̱ fe̱yɛ ɔɔ sa kake ne̱ ɔ sa na ɔnyare̱ ko̱ ne̱ oo lee-o bo̱ gyi kaye̱-rɔ ase̱sɛ pɛɛɛ ase̱ŋ nɛɛnɛɛ-ɔ . Ɔɔ ba ɔnyare̱ amo̱ a kikyiŋŋi le̱e̱ lowi-ro-o bo̱ kaapo̱ ɔke̱maa amɔ . ”
43019002	Description	Ne̱ asoogyaa awuye-o a ba iwu bo̱ lo̱ kuwurepa bo̱ buŋ mò̱ , ne̱ baa ba waagya pipee bo̱ buŋ mò̱ , fe̱yɛ mò̱ a gye̱ owure-o .
54005014	Recommendation	Amɔ se̱-ɔ , mo̱ e̱ tɔwe̱ mo̱ i gywii ane̱ŋ a akpenlekye̱e̱ ne̱ bo̱ mo̱ŋ tɛɛ kii akye̱e̱bre̱sɛ-ɔ fe̱yɛ bo̱ be̱e̱ waare̱e̱ , na bo̱ ko̱we̱ ŋyaagyi , na bo̱ de̱e̱re̱ bamo̱ e̱lɔŋ se̱ , na bo̱ ma sa ane̱ ado̱ŋ nya kpa tɔwe̱ bamo̱ ŋyo̱wɔre̱ se̱ ase̱ŋ bɔye̱ .
